[2024-11-22T11:45:52.979+0000] {logging_mixin.py:190} INFO - ATT GRUPAAZOTY
[2024-11-22T11:45:52.979+0000] {logging_mixin.py:190} INFO - AWM AIRWAY
[2024-11-22T11:45:52.980+0000] {logging_mixin.py:190} INFO - B24 BRAND24
[2024-11-22T11:45:52.980+0000] {logging_mixin.py:190} INFO - BBD BBIDEV
[2024-11-22T11:45:52.980+0000] {logging_mixin.py:190} INFO - BBT BOOMBIT
[2024-11-22T11:45:52.981+0000] {logging_mixin.py:190} INFO - BCM BETACOM
[2024-11-22T11:45:52.981+0000] {logging_mixin.py:190} INFO - BCS BIGCHEESE
[2024-11-22T11:45:52.981+0000] {logging_mixin.py:190} INFO - BCX BIOCELTIX
[2024-11-22T11:45:52.982+0000] {logging_mixin.py:190} INFO - BDX BUDIMEX
[2024-11-22T11:45:52.982+0000] {logging_mixin.py:190} INFO - BDZ BEDZIN
[2024-11-22T11:45:52.982+0000] {logging_mixin.py:190} INFO - BFC BIOFACTOR
[2024-11-22T11:45:52.983+0000] {logging_mixin.py:190} INFO - BFT BENEFIT
[2024-11-22T11:45:52.983+0000] {logging_mixin.py:190} INFO - BHW HANDLOWY
[2024-11-22T11:45:52.983+0000] {logging_mixin.py:190} INFO - BIO BIOTON
[2024-11-22T11:45:52.984+0000] {logging_mixin.py:190} INFO - BIP BIOPLANET
[2024-11-22T11:45:52.984+0000] {logging_mixin.py:190} INFO - BLO BLOOBER
[2024-11-22T11:45:52.984+0000] {logging_mixin.py:190} INFO - BMC BUMECH
[2024-11-22T11:45:52.985+0000] {logging_mixin.py:190} INFO - BMX BIOMAXIMA
[2024-11-22T11:45:52.985+0000] {logging_mixin.py:190} INFO - BNP BNPPPL
[2024-11-22T11:45:52.985+0000] {logging_mixin.py:190} INFO - BOW BOWIM
[2024-11-22T11:45:52.986+0000] {logging_mixin.py:190} INFO - BRA BRASTER
[2024-11-22T11:45:52.986+0000] {logging_mixin.py:190} INFO - BRS BORYSZEW
[2024-11-22T11:45:52.986+0000] {logging_mixin.py:190} INFO - BST BEST
[2024-11-22T11:45:52.987+0000] {logging_mixin.py:190} INFO - CAP CAPITEA
[2024-11-22T11:45:52.987+0000] {logging_mixin.py:190} INFO - CAR INTERCARS
[2024-11-22T11:45:52.987+0000] {logging_mixin.py:190} INFO - CAV CAVATINA
[2024-11-22T11:45:52.988+0000] {logging_mixin.py:190} INFO - CBF CYBERFLKS
[2024-11-22T11:45:52.988+0000] {logging_mixin.py:190} INFO - CCE CCENERGY
[2024-11-22T11:45:52.988+0000] {logging_mixin.py:190} INFO - CDL CDRL
[2024-11-22T11:45:52.989+0000] {logging_mixin.py:190} INFO - CDR CDPROJEKT
[2024-11-22T11:45:52.989+0000] {logging_mixin.py:190} INFO - CIG CIGAMES
[2024-11-22T11:45:52.989+0000] {logging_mixin.py:190} INFO - CLC COLUMBUS
[2024-11-22T11:45:52.990+0000] {logging_mixin.py:190} INFO - CLD CLOUD
[2024-11-22T11:45:52.990+0000] {logging_mixin.py:190} INFO - CLE COALENERG
[2024-11-22T11:45:52.990+0000] {logging_mixin.py:190} INFO - CLN CLNPHARMA
[2024-11-22T11:45:52.991+0000] {logging_mixin.py:190} INFO - CMP COMP
[2024-11-22T11:45:52.991+0000] {logging_mixin.py:190} INFO - CMR COMARCH
[2024-11-22T11:45:52.991+0000] {logging_mixin.py:190} INFO - COG COGNOR
[2024-11-22T11:45:52.992+0000] {logging_mixin.py:190} INFO - CPA CAPITAL
[2024-11-22T11:45:52.992+0000] {logging_mixin.py:190} INFO - CPD CELTIC
[2024-11-22T11:45:52.992+0000] {logging_mixin.py:190} INFO - CPL COMPERIA
[2024-11-22T11:45:52.993+0000] {logging_mixin.py:190} INFO - CPR COMPREMUM
[2024-11-22T11:45:52.993+0000] {logging_mixin.py:190} INFO - CPS CYFRPLSAT
[2024-11-22T11:45:52.993+0000] {logging_mixin.py:190} INFO - CRC CARPATHIA
[2024-11-22T11:45:52.994+0000] {logging_mixin.py:190} INFO - CRI CREOTECH
[2024-11-22T11:45:52.994+0000] {logging_mixin.py:190} INFO - CRJ CREEPYJAR
[2024-11-22T11:45:52.994+0000] {logging_mixin.py:190} INFO - CRM CORMAY
[2024-11-22T11:45:52.995+0000] {logging_mixin.py:190} INFO - CSR CASPAR
[2024-11-22T11:45:52.995+0000] {logging_mixin.py:190} INFO - CTF CENTURION
[2024-11-22T11:45:52.995+0000] {logging_mixin.py:190} INFO - CTS CITYSERV
[2024-11-22T11:45:52.996+0000] {logging_mixin.py:190} INFO - CTX CAPTORTX
[2024-11-22T11:45:52.996+0000] {logging_mixin.py:190} INFO - CZT CZTOREBKA
[2024-11-22T11:45:52.996+0000] {logging_mixin.py:190} INFO - DAD DADELO
[2024-11-22T11:45:52.997+0000] {logging_mixin.py:190} INFO - DAT DATAWALK
[2024-11-22T11:45:52.997+0000] {logging_mixin.py:190} INFO - DBC DEBICA
[2024-11-22T11:45:52.997+0000] {logging_mixin.py:190} INFO - DBE DBENERGY
[2024-11-22T11:45:52.998+0000] {logging_mixin.py:190} INFO - DCR DECORA
[2024-11-22T11:45:52.998+0000] {logging_mixin.py:190} INFO - DEK DEKPOL
[2024-11-22T11:45:52.999+0000] {logging_mixin.py:190} INFO - DEL DELKO
[2024-11-22T11:45:52.999+0000] {logging_mixin.py:190} INFO - DGE DRAGOENT
[2024-11-22T11:45:52.999+0000] {logging_mixin.py:190} INFO - DIG DIGITANET
[2024-11-22T11:45:52.999+0000] {logging_mixin.py:190} INFO - DMG DMGROUP
[2024-11-22T11:45:53.000+0000] {logging_mixin.py:190} INFO - DNP DINOPL
[2024-11-22T11:45:53.000+0000] {logging_mixin.py:190} INFO - DOM DOMDEV
[2024-11-22T11:45:53.000+0000] {logging_mixin.py:190} INFO - DPL DROZAPOL
[2024-11-22T11:45:53.001+0000] {logging_mixin.py:190} INFO - DTR DIGITREE
[2024-11-22T11:45:53.001+0000] {logging_mixin.py:190} INFO - DVL DEVELIA
[2024-11-22T11:45:53.001+0000] {logging_mixin.py:190} INFO - EAH ESOTIQ
[2024-11-22T11:45:53.002+0000] {logging_mixin.py:190} INFO - EAT AMREST
[2024-11-22T11:45:53.002+0000] {logging_mixin.py:190} INFO - ECH ECHO
[2024-11-22T11:45:53.002+0000] {logging_mixin.py:190} INFO - EDI EDINVEST
[2024-11-22T11:45:53.003+0000] {logging_mixin.py:190} INFO - EEX EKOEXPORT
[2024-11-22T11:45:53.003+0000] {logging_mixin.py:190} INFO - EFK EFEKT
[2024-11-22T11:45:53.004+0000] {logging_mixin.py:190} INFO - EHG EUROHOLD
[2024-11-22T11:45:53.004+0000] {logging_mixin.py:190} INFO - EKP ELKOP
[2024-11-22T11:45:53.004+0000] {logging_mixin.py:190} INFO - ELT ELEKTROTI
[2024-11-22T11:45:53.005+0000] {logging_mixin.py:190} INFO - EMC EMCINSMED
[2024-11-22T11:45:53.005+0000] {logging_mixin.py:190} INFO - ENA ENEA
[2024-11-22T11:45:53.005+0000] {logging_mixin.py:190} INFO - ENE ENELMED
[2024-11-22T11:45:53.005+0000] {logging_mixin.py:190} INFO - ENG ENERGA
[2024-11-22T11:45:53.006+0000] {logging_mixin.py:190} INFO - ENI ENERGOINS
[2024-11-22T11:45:53.006+0000] {logging_mixin.py:190} INFO - ENP ENAP
[2024-11-22T11:45:53.006+0000] {logging_mixin.py:190} INFO - ENT ENTER
[2024-11-22T11:45:53.006+0000] {logging_mixin.py:190} INFO - EQU EQUNICO
[2024-11-22T11:45:53.007+0000] {logging_mixin.py:190} INFO - ERB ERBUD
